,snr,ch,packet,nn_loss,bl_loss
3922,20.0,B,3922,0.01087,0.00356
5452,36.0,F,5452,0.03968,0.02503
4068,16.0,E,4068,0.00332,0.02574
718,40.0,D,718,0.00151,0.00257
2801,16.0,C,2801,0.00474,0.00912
2620,40.0,C,2620,0.02094,9e-05
2587,28.0,E,2587,0.08936,0.02487
3992,28.0,A,3992,0.13223,0.00073
6521,24.0,C,6521,0.0061,0.00241
1040,28.0,B,1040,0.00681,0.0012
6901,16.0,B,6901,0.00441,0.01557
456,24.0,C,456,0.00661,0.00536
9382,36.0,C,9382,0.03792,0.00059
1963,40.0,E,1963,0.12071,0.02455
73,32.0,E,73,0.01616,0.04421
5306,16.0,A,5306,0.04361,0.01326
4574,32.0,E,4574,0.33646,0.01044
3764,12.0,C,3764,0.01651,0.03056
4801,24.0,A,4801,0.0459,0.00244
1153,40.0,A,1153,0.00989,6e-05
80,40.0,A,80,0.01428,4e-05
8010,20.0,C,8010,0.00204,0.00492
8215,32.0,C,8215,0.02479,0.00951
2129,36.0,F,2129,0.02274,0.08179
7418,32.0,C,7418,0.02695,0.00081
5615,16.0,E,5615,0.02659,0.01717
3502,32.0,D,3502,0.22783,0.00206
4372,16.0,C,4372,0.04128,0.01544
9797,16.0,C,9797,0.01526,0.00542
1470,36.0,A,1470,0.05926,9e-05
9522,24.0,A,9522,0.06081,0.0022
8394,40.0,D,8394,0.01354,0.00424
725,40.0,E,725,0.20818,0.01302
9782,40.0,D,9782,0.10657,0.00302
54,28.0,B,54,0.00115,0.00136
2815,20.0,A,2815,0.13805,0.34852
4431,28.0,D,4431,0.00897,0.01059
7238,28.0,F,7238,0.00851,0.00594
5572,40.0,A,5572,0.1521,5e-05
3811,28.0,E,3811,0.00782,0.01871
9727,28.0,A,9727,0.02417,0.0007
8506,36.0,C,8506,0.23002,0.01066
9447,40.0,F,9447,0.09693,0.08406
6066,36.0,C,6066,0.01028,0.0015
8362,28.0,A,8362,0.03011,0.00078
2650,28.0,B,2650,0.15629,0.00065
6925,40.0,E,6925,0.05066,0.00071
9888,36.0,D,9888,0.00996,0.00229
3416,32.0,E,3416,0.02674,0.03168
8655,36.0,E,8655,0.02202,0.07954
8921,32.0,D,8921,0.00411,0.00682
4229,36.0,B,4229,0.02234,0.00014
1358,28.0,E,1358,0.00808,0.01465
7805,24.0,B,7805,0.00563,0.00173
361,24.0,E,361,0.0313,0.01703
1493,28.0,F,1493,0.11613,0.0115
483,20.0,F,483,0.03107,0.00635
6499,16.0,C,6499,0.05054,0.01422
9131,20.0,D,9131,0.00286,0.00321
9655,24.0,E,9655,0.00613,0.01711
8553,40.0,C,8553,0.01192,0.00287
2095,20.0,B,2095,0.02923,0.00386
8486,20.0,A,8486,0.05869,0.00656
1717,32.0,F,1717,0.02633,0.06204
2872,40.0,B,2872,0.02834,0.0001
5056,20.0,F,5056,0.02155,0.03066
4902,36.0,E,4902,0.0187,0.05015
2201,20.0,A,2201,0.04009,0.00305
3439,32.0,D,3439,0.0467,0.02401
4778,32.0,B,4778,0.01208,0.00087
4699,36.0,A,4699,0.06141,9e-05
6576,32.0,E,6576,0.02076,0.00534
5850,20.0,E,5850,0.00142,0.00586
7296,24.0,A,7296,0.02659,0.00171
5723,40.0,F,5723,0.0564,0.0527
7452,16.0,B,7452,0.00327,0.00496
1585,36.0,D,1585,0.00245,0.00152
6717,40.0,C,6717,0.00151,0.0003
6131,40.0,D,6131,0.00416,0.00186
2566,36.0,D,2566,0.00373,0.00028
2458,40.0,B,2458,0.00379,0.00049
4678,40.0,D,4678,0.01944,0.00064
5960,36.0,F,5960,0.0413,0.01756
7569,28.0,D,7569,0.03066,0.00474
3700,20.0,E,3700,0.22315,0.00684
3574,20.0,D,3574,0.01915,0.00664
4766,32.0,B,4766,0.05218,0.00171
119,20.0,C,119,0.00788,0.00816
2020,12.0,D,2020,0.00874,0.0135
3664,20.0,B,3664,0.01449,0.0082
313,28.0,E,313,0.00206,0.0027
9362,24.0,A,9362,0.01473,0.00241
3968,36.0,C,3968,0.02597,0.00087
3525,32.0,B,3525,0.08795,0.00046
1931,40.0,D,1931,0.00792,0.00024
5785,36.0,C,5785,0.00964,0.0068
5806,20.0,B,5806,0.07739,0.00858
5953,32.0,C,5953,0.00322,0.00082
8806,36.0,F,8806,0.01242,0.06197
2786,20.0,B,2786,0.01854,0.00703
8962,16.0,E,8962,0.15267,0.02404
2628,20.0,F,2628,0.06021,0.01219
8648,16.0,C,8648,0.04756,0.01569
107,40.0,A,107,0.0377,6e-05
6373,40.0,F,6373,0.01929,0.05732
3806,12.0,C,3806,0.01538,0.02129
3183,20.0,C,3183,0.00736,0.00861
7516,32.0,D,7516,0.0031,0.00015
7228,32.0,C,7228,0.00292,0.00073
4964,20.0,A,4964,0.05898,0.00418
9297,36.0,D,9297,0.04956,0.00625
338,24.0,D,338,0.08592,0.00322
1276,12.0,A,1276,0.25282,0.0269
2853,40.0,C,2853,0.01175,0.00036
5829,40.0,E,5829,0.0246,0.00821
6899,28.0,C,6899,0.04849,0.00113
807,28.0,B,807,0.14975,0.00144
3579,36.0,D,3579,0.0092,0.00066
8308,24.0,B,8308,0.03591,0.00206
234,16.0,F,234,0.0015,0.02905
7456,36.0,B,7456,0.00149,0.00024
2084,32.0,C,2084,0.01077,0.00036
9943,28.0,C,9943,0.02294,0.00237
2049,16.0,C,2049,0.12148,0.00359
5945,28.0,B,5945,0.00812,0.00061
253,20.0,B,253,0.00174,0.00693
1799,20.0,C,1799,0.00375,0.00586
6373,28.0,E,6373,0.01181,0.01716
6628,16.0,C,6628,0.205,0.01404
1568,24.0,A,1568,0.05385,0.00138
879,40.0,B,879,0.0449,7e-05
163,32.0,A,163,0.03124,0.00044
4629,28.0,A,4629,0.04697,0.00089
1083,12.0,F,1083,0.04164,0.04799
4389,40.0,C,4389,0.0297,0.00463
2756,28.0,C,2756,0.04771,0.0022
